attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength
37,722919,47,-330,411413,113514,126573,3791,128724,2013,850781,0,0
37,722919,47,-22,411413,113514,126573,3791,128724,2013,850781,0,0
37,722919,47,-498,411413,113514,126573,3791,128724,2013,850781,0,0
41,1152619,53,-37,485935,211129,10711,9189,112314,2651,797239,0,0
41,1152619,53,-150,485935,211129,10711,9189,112314,2651,797239,0,0
41,1152619,53,-467,485935,211129,10711,9189,112314,2651,797239,0,0
41,1152619,53,-118,485935,211129,10711,9189,112314,2651,797239,0,0
41,1152619,53,346,485935,211129,10711,9189,112314,2651,797239,0,0
41,1152619,53,849,485935,211129,10711,9189,112314,2651,797239,0,0
41,1152619,53,132,485935,211129,10711,9189,112314,2651,797239,0,0
41,1152619,53,-59,485935,211129,10711,9189,112314,2651,797239,0,0
41,1152619,53,258,485935,211129,10711,9189,112314,2651,797239,0,0
41,1152619,53,168,485935,211129,10711,9189,112314,2651,797239,0,0
41,2413843,53,-40,492205,95936,86809,5237,192838,2689,861453,26,0
41,2413843,53,-217,492205,95936,86809,5237,192838,2689,861453,26,0
41,2413843,53,-185,492205,95936,86809,5237,192838,2689,861453,26,0
41,2413843,53,96,492205,95936,86809,5237,192838,2689,861453,26,0
41,2413843,53,34,492205,95936,86809,5237,192838,2689,861453,26,0
41,2413843,53,59,492205,95936,86809,5237,192838,2689,861453,26,0
41,2413843,53,359,492205,95936,86809,5237,192838,2689,861453,26,0
41,2413843,53,297,492205,95936,86809,5237,192838,2689,861453,26,0
41,2413843,53,345,492205,95936,86809,5237,192838,2689,861453,26,0
41,2413843,53,-483,492205,95936,86809,5237,192838,2689,861453,26,0
66,274624,51,202,440136,139769,53687,4778,145800,2675,869607,0,0
66,274624,51,283,440136,139769,53687,4778,145800,2675,869607,0,0
66,274624,51,-276,440136,139769,53687,4778,145800,2675,869607,0,0
66,274624,51,-276,440136,139769,53687,4778,145800,2675,869607,0,0
66,274624,51,104,440136,139769,53687,4778,145800,2675,869607,0,0
66,274624,51,-172,440136,139769,53687,4778,145800,2675,869607,0,0
66,274624,51,68,440136,139769,53687,4778,145800,2675,869607,0,0
66,274624,51,-405,440136,139769,53687,4778,145800,2675,869607,0,0
66,274624,51,886,440136,139769,53687,4778,145800,2675,869607,0,0
66,274624,51,-306,440136,139769,53687,4778,145800,2675,869607,0,0
44,530471,47,291,1080129,24347,254949,3994,197373,5688,916776,0,0
44,530471,47,310,1080129,24347,254949,3994,197373,5688,916776,0,0
44,530471,47,-27,1080129,24347,254949,3994,197373,5688,916776,0,0
44,530471,47,-283,1080129,24347,254949,3994,197373,5688,916776,0,0
44,530471,47,37,1080129,24347,254949,3994,197373,5688,916776,0,0
44,530471,47,-323,1080129,24347,254949,3994,197373,5688,916776,0,0
44,530471,47,-396,1080129,24347,254949,3994,197373,5688,916776,0,0
44,530471,47,-377,1080129,24347,254949,3994,197373,5688,916776,0,0
44,530471,47,571,1080129,24347,254949,3994,197373,5688,916776,0,0
44,530471,47,21,1080129,24347,254949,3994,197373,5688,916776,0,0
41,391143,48,10,543848,127780,174818,16927,139923,3686,1006455,0,0
41,391143,48,515,543848,127780,174818,16927,139923,3686,1006455,0,0
