attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
64,1871151,51,-1880,192487,56138,101934,123517,32329,3667,1564,51,0,2
64,1871151,51,-572,192487,56138,101934,123517,32329,3667,1564,51,0,2
64,1871151,51,-49,192487,56138,101934,123517,32329,3667,1564,51,0,2
64,1871151,51,413,192487,56138,101934,123517,32329,3667,1564,51,0,2
64,1871151,51,2047,192487,56138,101934,123517,32329,3667,1564,51,0,2
64,1871151,51,576,192487,56138,101934,123517,32329,3667,1564,51,0,2
64,229704,51,129,73851,11545,5408,4683,2227,671,972,26,0,2
64,229704,51,55,73851,11545,5408,4683,2227,671,972,26,0,2
64,229704,51,50,73851,11545,5408,4683,2227,671,972,26,0,2
64,229704,51,10,73851,11545,5408,4683,2227,671,972,26,0,2
64,229704,51,-6,73851,11545,5408,4683,2227,671,972,26,0,2
64,229704,51,-76,73851,11545,5408,4683,2227,671,972,26,0,2
64,229704,51,-434,73851,11545,5408,4683,2227,671,972,26,0,2
64,229704,51,37,73851,11545,5408,4683,2227,671,972,26,0,2
64,229704,51,-12,73851,11545,5408,4683,2227,671,972,26,0,2
64,229704,51,-125,73851,11545,5408,4683,2227,671,972,26,0,2
64,1396811,51,-140,185792,62200,24721,47672,15226,4565,56804,25,0,2
64,1396811,51,-7,185792,62200,24721,47672,15226,4565,56804,25,0,2
64,1396811,51,-58,185792,62200,24721,47672,15226,4565,56804,25,0,2
64,1396811,51,53,185792,62200,24721,47672,15226,4565,56804,25,0,2
64,1396811,51,-11,185792,62200,24721,47672,15226,4565,56804,25,0,2
64,1396811,51,17,185792,62200,24721,47672,15226,4565,56804,25,0,2
64,1396811,51,107,185792,62200,24721,47672,15226,4565,56804,25,0,2
64,1396811,51,42,185792,62200,24721,47672,15226,4565,56804,25,0,2
64,1396811,51,9,185792,62200,24721,47672,15226,4565,56804,25,0,2
64,1396811,51,137,185792,62200,24721,47672,15226,4565,56804,25,0,2
63,303585,47,83,68234,5808,7006,8838,3740,2458,43059,0,0,2
63,303585,47,53,68234,5808,7006,8838,3740,2458,43059,0,0,2
63,303585,47,11,68234,5808,7006,8838,3740,2458,43059,0,0,2
63,303585,47,23,68234,5808,7006,8838,3740,2458,43059,0,0,2
63,303585,47,18,68234,5808,7006,8838,3740,2458,43059,0,0,2
63,303585,47,56,68234,5808,7006,8838,3740,2458,43059,0,0,2
63,303585,47,171,68234,5808,7006,8838,3740,2458,43059,0,0,2
63,303585,47,83,68234,5808,7006,8838,3740,2458,43059,0,0,2
63,303585,47,20,68234,5808,7006,8838,3740,2458,43059,0,0,2
63,303585,47,81,68234,5808,7006,8838,3740,2458,43059,0,0,2
60,37300,34,129,25347,1296,543,2215,1731,255,10664,0,0,2
60,37300,34,11,25347,1296,543,2215,1731,255,10664,0,0,2
60,37300,34,-105,25347,1296,543,2215,1731,255,10664,0,0,2
60,37300,34,44,25347,1296,543,2215,1731,255,10664,0,0,2
60,37300,34,53,25347,1296,543,2215,1731,255,10664,0,0,2
60,37300,34,56,25347,1296,543,2215,1731,255,10664,0,0,2
60,37300,34,-198,25347,1296,543,2215,1731,255,10664,0,0,2
60,37300,34,162,25347,1296,543,2215,1731,255,10664,0,0,2
60,37300,34,22,25347,1296,543,2215,1731,255,10664,0,0,2
60,37300,34,-77,25347,1296,543,2215,1731,255,10664,0,0,2
70,239381,29,73,31882,2357,5218,9259,3682,479,29236,0,0,2
70,239381,29,148,31882,2357,5218,9259,3682,479,29236,0,0,2
70,239381,29,-60,31882,2357,5218,9259,3682,479,29236,0,0,2
70,239381,29,29,31882,2357,5218,9259,3682,479,29236,0,0,2
70,239381,29,-42,31882,2357,5218,9259,3682,479,29236,0,0,2
