attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength
0,300413,0,897,108784,31861,7168,32108,22036,33505,44094,200,0
0,300413,0,768,108784,31861,7168,32108,22036,33505,44094,200,0
0,300413,0,330,108784,31861,7168,32108,22036,33505,44094,200,0
0,300413,0,133,108784,31861,7168,32108,22036,33505,44094,200,0
0,300413,0,108,108784,31861,7168,32108,22036,33505,44094,200,0
0,300413,0,-422,108784,31861,7168,32108,22036,33505,44094,200,0
0,300413,0,1597,108784,31861,7168,32108,22036,33505,44094,200,0
0,300413,0,213,108784,31861,7168,32108,22036,33505,44094,200,0
0,300413,0,133,108784,31861,7168,32108,22036,33505,44094,200,0
0,300413,0,89,108784,31861,7168,32108,22036,33505,44094,200,0
0,459536,0,-2048,33158,1737,45357,14331,29816,12131,62432,200,0
0,459536,0,-561,33158,1737,45357,14331,29816,12131,62432,200,0
0,459536,0,838,33158,1737,45357,14331,29816,12131,62432,200,0
0,459536,0,1029,33158,1737,45357,14331,29816,12131,62432,200,0
0,459536,0,256,33158,1737,45357,14331,29816,12131,62432,200,0
0,459536,0,67,33158,1737,45357,14331,29816,12131,62432,200,0
0,459536,0,73,33158,1737,45357,14331,29816,12131,62432,200,0
0,459536,0,-2048,33158,1737,45357,14331,29816,12131,62432,200,0
0,459536,0,1107,33158,1737,45357,14331,29816,12131,62432,200,0
0,459536,0,1469,33158,1737,45357,14331,29816,12131,62432,200,0
0,1022879,0,274,69262,188110,74009,12617,94745,51755,68142,200,0
0,1022879,0,44,69262,188110,74009,12617,94745,51755,68142,200,0
0,1022879,0,60,69262,188110,74009,12617,94745,51755,68142,200,0
0,1022879,0,-1306,69262,188110,74009,12617,94745,51755,68142,200,0
0,1022879,0,1334,69262,188110,74009,12617,94745,51755,68142,200,0
0,1022879,0,1474,69262,188110,74009,12617,94745,51755,68142,200,0
0,1022879,0,476,69262,188110,74009,12617,94745,51755,68142,200,0
0,1022879,0,69,69262,188110,74009,12617,94745,51755,68142,200,0
0,1022879,0,-27,69262,188110,74009,12617,94745,51755,68142,200,0
0,1022879,0,-2048,69262,188110,74009,12617,94745,51755,68142,200,0
0,211545,0,1330,48016,22571,25171,26874,10919,17787,21038,200,0
0,211545,0,-297,48016,22571,25171,26874,10919,17787,21038,200,0
0,211545,0,422,48016,22571,25171,26874,10919,17787,21038,200,0
0,211545,0,153,48016,22571,25171,26874,10919,17787,21038,200,0
0,211545,0,84,48016,22571,25171,26874,10919,17787,21038,200,0
0,211545,0,-2048,48016,22571,25171,26874,10919,17787,21038,200,0
0,211545,0,234,48016,22571,25171,26874,10919,17787,21038,200,0
0,211545,0,-209,48016,22571,25171,26874,10919,17787,21038,200,0
0,211545,0,498,48016,22571,25171,26874,10919,17787,21038,200,0
0,211545,0,144,48016,22571,25171,26874,10919,17787,21038,200,0
0,2429962,0,85,794734,85764,115818,120865,146516,21248,271168,200,0
0,2429962,0,-2048,794734,85764,115818,120865,146516,21248,271168,200,0
0,2429962,0,-585,794734,85764,115818,120865,146516,21248,271168,200,0
0,2429962,0,773,794734,85764,115818,120865,146516,21248,271168,200,0
0,2429962,0,1148,794734,85764,115818,120865,146516,21248,271168,200,0
0,2429962,0,310,794734,85764,115818,120865,146516,21248,271168,200,0
0,2429962,0,117,794734,85764,115818,120865,146516,21248,271168,200,0
0,2429962,0,76,794734,85764,115818,120865,146516,21248,271168,200,0
0,2429962,0,-965,794734,85764,115818,120865,146516,21248,271168,200,0
0,2429962,0,-1753,794734,85764,115818,120865,146516,21248,271168,200,0
0,3009399,0,-174,589083,75969,128453,91373,135289,93524,87499,200,0
0,3009399,0,138,589083,75969,128453,91373,135289,93524,87499,200,0
0,3009399,0,1981,589083,75969,128453,91373,135289,93524,87499,200,0
0,3009399,0,519,589083,75969,128453,91373,135289,93524,87499,200,0
0,3009399,0,131,589083,75969,128453,91373,135289,93524,87499,200,0
0,3009399,0,60,589083,75969,128453,91373,135289,93524,87499,200,0
0,3009399,0,49,589083,75969,128453,91373,135289,93524,87499,200,0
0,3009399,0,-2048,589083,75969,128453,91373,135289,93524,87499,200,0
0,3009399,0,1072,589083,75969,128453,91373,135289,93524,87499,200,0
0,3009399,0,-1645,589083,75969,128453,91373,135289,93524,87499,200,0
0,742453,0,2047,142679,52759,10513,31104,22532,8317,28895,200,0
0,742453,0,667,142679,52759,10513,31104,22532,8317,28895,200,0
0,742453,0,99,142679,52759,10513,31104,22532,8317,28895,200,0
0,742453,0,48,142679,52759,10513,31104,22532,8317,28895,200,0
0,742453,0,57,142679,52759,10513,31104,22532,8317,28895,200,0
0,742453,0,-2048,142679,52759,10513,31104,22532,8317,28895,200,0
0,742453,0,613,142679,52759,10513,31104,22532,8317,28895,200,0
0,742453,0,785,142679,52759,10513,31104,22532,8317,28895,200,0
0,742453,0,417,142679,52759,10513,31104,22532,8317,28895,200,0
0,742453,0,-196,142679,52759,10513,31104,22532,8317,28895,200,0
0,1224793,0,90,256343,113114,44423,53558,35274,15546,155328,200,0
0,1224793,0,73,256343,113114,44423,53558,35274,15546,155328,200,0
0,1224793,0,117,256343,113114,44423,53558,35274,15546,155328,200,0
0,1224793,0,-278,256343,113114,44423,53558,35274,15546,155328,200,0
0,1224793,0,-1283,256343,113114,44423,53558,35274,15546,155328,200,0
0,1224793,0,-157,256343,113114,44423,53558,35274,15546,155328,200,0
0,1224793,0,1701,256343,113114,44423,53558,35274,15546,155328,200,0
0,1224793,0,148,256343,113114,44423,53558,35274,15546,155328,200,0
0,1224793,0,493,256343,113114,44423,53558,35274,15546,155328,200,0
0,1224793,0,-2048,256343,113114,44423,53558,35274,15546,155328,200,0
0,1873200,0,2047,148236,61710,79068,84677,84083,41699,52571,200,0
