attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength
0,743627,0,-221,90593,14727,91735,3460,54663,1476,293248,26,0
0,743627,0,341,90593,14727,91735,3460,54663,1476,293248,26,0
0,743627,0,-269,90593,14727,91735,3460,54663,1476,293248,26,0
0,743627,0,-65,90593,14727,91735,3460,54663,1476,293248,26,0
0,743627,0,573,90593,14727,91735,3460,54663,1476,293248,26,0
0,743627,0,490,90593,14727,91735,3460,54663,1476,293248,26,0
0,405885,0,-631,1073503,16234,337193,8999,219057,4500,1143189,26,0
0,405885,0,-26,1073503,16234,337193,8999,219057,4500,1143189,26,0
0,405885,0,566,1073503,16234,337193,8999,219057,4500,1143189,26,0
0,405885,0,677,1073503,16234,337193,8999,219057,4500,1143189,26,0
0,405885,0,100,1073503,16234,337193,8999,219057,4500,1143189,26,0
0,405885,0,-445,1073503,16234,337193,8999,219057,4500,1143189,26,0
0,405885,0,-299,1073503,16234,337193,8999,219057,4500,1143189,26,0
0,405885,0,-354,1073503,16234,337193,8999,219057,4500,1143189,26,0
0,405885,0,1,1073503,16234,337193,8999,219057,4500,1143189,26,0
0,405885,0,572,1073503,16234,337193,8999,219057,4500,1143189,26,0
0,1098743,0,-573,1112666,20505,316442,4210,252172,4286,1168322,26,0
0,1098743,0,-102,1112666,20505,316442,4210,252172,4286,1168322,26,0
0,1098743,0,41,1112666,20505,316442,4210,252172,4286,1168322,26,0
0,1098743,0,406,1112666,20505,316442,4210,252172,4286,1168322,26,0
0,1098743,0,496,1112666,20505,316442,4210,252172,4286,1168322,26,0
0,1098743,0,296,1112666,20505,316442,4210,252172,4286,1168322,26,0
0,1098743,0,-468,1112666,20505,316442,4210,252172,4286,1168322,26,0
0,1098743,0,-411,1112666,20505,316442,4210,252172,4286,1168322,26,0
0,1098743,0,-147,1112666,20505,316442,4210,252172,4286,1168322,26,0
0,1098743,0,232,1112666,20505,316442,4210,252172,4286,1168322,26,0
0,710378,0,-507,518101,28361,212043,6873,223049,3962,1092096,0,0
0,710378,0,-454,518101,28361,212043,6873,223049,3962,1092096,0,0
0,710378,0,45,518101,28361,212043,6873,223049,3962,1092096,0,0
0,710378,0,193,518101,28361,212043,6873,223049,3962,1092096,0,0
