attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
60,69542,88,123,20689,7203,9859,5206,7033,2852,790,0,0,2
60,69542,88,71,20689,7203,9859,5206,7033,2852,790,0,0,2
60,69542,88,54,20689,7203,9859,5206,7033,2852,790,0,0,2
60,69542,88,118,20689,7203,9859,5206,7033,2852,790,0,0,2
60,69542,88,8,20689,7203,9859,5206,7033,2852,790,0,0,2
63,151356,87,116,11924,6312,1632,1800,992,304,1412,0,0,2
63,151356,87,-3,11924,6312,1632,1800,992,304,1412,0,0,2
63,151356,87,49,11924,6312,1632,1800,992,304,1412,0,0,2
63,151356,87,67,11924,6312,1632,1800,992,304,1412,0,0,2
63,151356,87,51,11924,6312,1632,1800,992,304,1412,0,0,2
63,151356,87,172,11924,6312,1632,1800,992,304,1412,0,0,2
63,151356,87,54,11924,6312,1632,1800,992,304,1412,0,0,2
63,151356,87,83,11924,6312,1632,1800,992,304,1412,0,0,2
63,151356,87,18,11924,6312,1632,1800,992,304,1412,0,0,2
63,151356,87,64,11924,6312,1632,1800,992,304,1412,0,0,2
78,203719,88,1,14947,1926,17015,23826,14287,15294,2789,0,0,2
78,203719,88,1,14947,1926,17015,23826,14287,15294,2789,0,0,2
78,203719,88,118,14947,1926,17015,23826,14287,15294,2789,0,0,2
78,203719,88,65,14947,1926,17015,23826,14287,15294,2789,0,0,2
78,203719,88,93,14947,1926,17015,23826,14287,15294,2789,0,0,2
78,203719,88,53,14947,1926,17015,23826,14287,15294,2789,0,0,2
78,203719,88,58,14947,1926,17015,23826,14287,15294,2789,0,0,2
78,203719,88,26,14947,1926,17015,23826,14287,15294,2789,0,0,2
78,203719,88,10,14947,1926,17015,23826,14287,15294,2789,0,0,2
78,203719,88,55,14947,1926,17015,23826,14287,15294,2789,0,0,2
61,108430,81,49,234155,20991,28207,57960,15138,9989,9693,0,0,2
61,108430,81,92,234155,20991,28207,57960,15138,9989,9693,0,0,2
61,108430,81,96,234155,20991,28207,57960,15138,9989,9693,0,0,2
61,108430,81,39,234155,20991,28207,57960,15138,9989,9693,0,0,2
61,108430,81,-25,234155,20991,28207,57960,15138,9989,9693,0,0,2
61,108430,81,82,234155,20991,28207,57960,15138,9989,9693,0,0,2
61,108430,81,57,234155,20991,28207,57960,15138,9989,9693,0,0,2
61,108430,81,9,234155,20991,28207,57960,15138,9989,9693,0,0,2
61,108430,81,134,234155,20991,28207,57960,15138,9989,9693,0,0,2
61,108430,81,120,234155,20991,28207,57960,15138,9989,9693,0,0,2
51,98330,83,89,67970,28894,32405,20061,7675,3954,5642,0,0,2
51,98330,83,-23,67970,28894,32405,20061,7675,3954,5642,0,0,2
51,98330,83,11,67970,28894,32405,20061,7675,3954,5642,0,0,2
51,98330,83,130,67970,28894,32405,20061,7675,3954,5642,0,0,2
51,98330,83,73,67970,28894,32405,20061,7675,3954,5642,0,0,2
51,98330,83,42,67970,28894,32405,20061,7675,3954,5642,0,0,2
51,98330,83,114,67970,28894,32405,20061,7675,3954,5642,0,0,2
51,98330,83,53,67970,28894,32405,20061,7675,3954,5642,0,0,2
51,98330,83,85,67970,28894,32405,20061,7675,3954,5642,0,0,2
51,175245,83,72,137360,63000,31259,23403,11475,4544,5540,0,0,2
51,175245,83,146,137360,63000,31259,23403,11475,4544,5540,0,0,2
51,175245,83,-25,137360,63000,31259,23403,11475,4544,5540,0,0,2
51,175245,83,17,137360,63000,31259,23403,11475,4544,5540,0,0,2
51,175245,83,-23,137360,63000,31259,23403,11475,4544,5540,0,0,2
51,175245,83,36,137360,63000,31259,23403,11475,4544,5540,0,0,2
51,175245,83,144,137360,63000,31259,23403,11475,4544,5540,0,0,2
51,175245,83,150,137360,63000,31259,23403,11475,4544,5540,0,0,2
51,175245,83,28,137360,63000,31259,23403,11475,4544,5540,0,0,2
51,175245,83,11,137360,63000,31259,23403,11475,4544,5540,0,0,2
30,610367,96,-22,39209,78979,102141,23937,9658,10797,3467,0,0,2
30,610367,96,22,39209,78979,102141,23937,9658,10797,3467,0,0,2
30,610367,96,-21,39209,78979,102141,23937,9658,10797,3467,0,0,2
30,610367,96,-2,39209,78979,102141,23937,9658,10797,3467,0,0,2
30,610367,96,64,39209,78979,102141,23937,9658,10797,3467,0,0,2
30,610367,96,157,39209,78979,102141,23937,9658,10797,3467,0,0,2
30,610367,96,64,39209,78979,102141,23937,9658,10797,3467,0,0,2
30,610367,96,-7,39209,78979,102141,23937,9658,10797,3467,0,0,2
30,610367,96,12,39209,78979,102141,23937,9658,10797,3467,0,0,2
30,610367,96,41,39209,78979,102141,23937,9658,10797,3467,0,0,2
41,407465,100,25,30612,7858,19689,10300,10337,11152,8080,0,0,2
41,407465,100,104,30612,7858,19689,10300,10337,11152,8080,0,0,2
41,407465,100,86,30612,7858,19689,10300,10337,11152,8080,0,0,2
41,407465,100,35,30612,7858,19689,10300,10337,11152,8080,0,0,2
41,407465,100,87,30612,7858,19689,10300,10337,11152,8080,0,0,2
41,407465,100,55,30612,7858,19689,10300,10337,11152,8080,0,0,2
41,407465,100,66,30612,7858,19689,10300,10337,11152,8080,0,0,2
41,407465,100,53,30612,7858,19689,10300,10337,11152,8080,0,0,2
41,407465,100,9,30612,7858,19689,10300,10337,11152,8080,0,0,2
41,407465,100,39,30612,7858,19689,10300,10337,11152,8080,0,0,2
41,63472,87,114,39175,650,7205,9134,2811,1443,1489,0,0,2
41,63472,87,100,39175,650,7205,9134,2811,1443,1489,0,0,2
41,63472,87,27,39175,650,7205,9134,2811,1443,1489,0,0,2
41,63472,87,-3,39175,650,7205,9134,2811,1443,1489,0,0,2
41,63472,87,26,39175,650,7205,9134,2811,1443,1489,0,0,2
41,63472,87,74,39175,650,7205,9134,2811,1443,1489,0,0,2
41,63472,87,54,39175,650,7205,9134,2811,1443,1489,0,0,2
41,63472,87,154,39175,650,7205,9134,2811,1443,1489,0,0,2
41,63472,87,96,39175,650,7205,9134,2811,1443,1489,0,0,2
41,63472,87,106,39175,650,7205,9134,2811,1443,1489,0,0,2
54,94966,83,17,36834,37992,23445,32403,15941,14233,11817,0,0,2
54,94966,83,-8,36834,37992,23445,32403,15941,14233,11817,0,0,2
54,94966,83,36,36834,37992,23445,32403,15941,14233,11817,0,0,2
54,94966,83,41,36834,37992,23445,32403,15941,14233,11817,0,0,2
54,94966,83,29,36834,37992,23445,32403,15941,14233,11817,0,0,2
54,94966,83,235,36834,37992,23445,32403,15941,14233,11817,0,0,2
54,94966,83,-44,36834,37992,23445,32403,15941,14233,11817,0,0,2
54,94966,83,25,36834,37992,23445,32403,15941,14233,11817,0,0,2
54,94966,83,29,36834,37992,23445,32403,15941,14233,11817,0,0,2
54,94966,83,86,36834,37992,23445,32403,15941,14233,11817,0,0,2
69,91665,66,27,17640,4199,14762,28488,7738,12171,3048,0,0,2
69,91665,66,49,17640,4199,14762,28488,7738,12171,3048,0,0,2
69,91665,66,107,17640,4199,14762,28488,7738,12171,3048,0,0,2
69,91665,66,116,17640,4199,14762,28488,7738,12171,3048,0,0,2
69,91665,66,182,17640,4199,14762,28488,7738,12171,3048,0,0,2
69,91665,66,-7,17640,4199,14762,28488,7738,12171,3048,0,0,2
69,91665,66,37,17640,4199,14762,28488,7738,12171,3048,0,0,2
69,91665,66,-25,17640,4199,14762,28488,7738,12171,3048,0,0,2
69,91665,66,33,17640,4199,14762,28488,7738,12171,3048,0,0,2
69,91665,66,86,17640,4199,14762,28488,7738,12171,3048,0,0,2
64,202421,57,54,111793,25273,7924,26979,15347,8616,7170,0,0,2
64,202421,57,2,111793,25273,7924,26979,15347,8616,7170,0,0,2
64,202421,57,82,111793,25273,7924,26979,15347,8616,7170,0,0,2
64,202421,57,-10,111793,25273,7924,26979,15347,8616,7170,0,0,2
64,202421,57,77,111793,25273,7924,26979,15347,8616,7170,0,0,2
64,202421,57,-69,111793,25273,7924,26979,15347,8616,7170,0,0,2
64,202421,57,18,111793,25273,7924,26979,15347,8616,7170,0,0,2
64,202421,57,25,111793,25273,7924,26979,15347,8616,7170,0,0,2
64,202421,57,85,111793,25273,7924,26979,15347,8616,7170,0,0,2
64,202421,57,128,111793,25273,7924,26979,15347,8616,7170,0,0,2
80,39514,69,65,21778,41248,876,27619,18451,11578,6495,0,0,2
80,39514,69,59,21778,41248,876,27619,18451,11578,6495,0,0,2
80,39514,69,50,21778,41248,876,27619,18451,11578,6495,0,0,2
80,39514,69,81,21778,41248,876,27619,18451,11578,6495,0,0,2
80,39514,69,28,21778,41248,876,27619,18451,11578,6495,0,0,2
80,39514,69,77,21778,41248,876,27619,18451,11578,6495,0,0,2
80,39514,69,32,21778,41248,876,27619,18451,11578,6495,0,0,2
80,39514,69,4,21778,41248,876,27619,18451,11578,6495,0,0,2
80,39514,69,45,21778,41248,876,27619,18451,11578,6495,0,0,2
80,39514,69,-65,21778,41248,876,27619,18451,11578,6495,0,0,2
74,34027,61,59,73119,14111,6774,8786,7574,10716,9127,0,0,2
74,34027,61,56,73119,14111,6774,8786,7574,10716,9127,0,0,2
74,34027,61,19,73119,14111,6774,8786,7574,10716,9127,0,0,2
74,34027,61,20,73119,14111,6774,8786,7574,10716,9127,0,0,2
74,34027,61,88,73119,14111,6774,8786,7574,10716,9127,0,0,2
74,34027,61,74,73119,14111,6774,8786,7574,10716,9127,0,0,2
74,34027,61,-14,73119,14111,6774,8786,7574,10716,9127,0,0,2
74,34027,61,26,73119,14111,6774,8786,7574,10716,9127,0,0,2
74,34027,61,70,73119,14111,6774,8786,7574,10716,9127,0,0,2
74,34027,61,52,73119,14111,6774,8786,7574,10716,9127,0,0,2
83,15921,61,72,10404,7139,8261,15011,18847,11480,6292,0,0,2
83,15921,61,87,10404,7139,8261,15011,18847,11480,6292,0,0,2
83,15921,61,41,10404,7139,8261,15011,18847,11480,6292,0,0,2
83,15921,61,106,10404,7139,8261,15011,18847,11480,6292,0,0,2
83,15921,61,-66,10404,7139,8261,15011,18847,11480,6292,0,0,2
83,15921,61,22,10404,7139,8261,15011,18847,11480,6292,0,0,2
83,15921,61,75,10404,7139,8261,15011,18847,11480,6292,0,0,2
83,15921,61,-10,10404,7139,8261,15011,18847,11480,6292,0,0,2
83,15921,61,87,10404,7139,8261,15011,18847,11480,6292,0,0,2
83,15921,61,34,10404,7139,8261,15011,18847,11480,6292,0,0,2
100,47084,67,-4,12837,7077,10497,4966,20468,20303,11033,0,0,2
100,47084,67,-343,12837,7077,10497,4966,20468,20303,11033,0,0,2
100,47084,67,390,12837,7077,10497,4966,20468,20303,11033,0,0,2
100,47084,67,201,12837,7077,10497,4966,20468,20303,11033,0,0,2
100,47084,67,106,12837,7077,10497,4966,20468,20303,11033,0,0,2
100,47084,67,-56,12837,7077,10497,4966,20468,20303,11033,0,0,2
100,47084,67,42,12837,7077,10497,4966,20468,20303,11033,0,0,2
100,47084,67,81,12837,7077,10497,4966,20468,20303,11033,0,0,2
100,47084,67,200,12837,7077,10497,4966,20468,20303,11033,0,0,2
100,47084,67,-1,12837,7077,10497,4966,20468,20303,11033,0,0,2
91,1419903,57,28,123103,11247,19469,19985,15927,10985,9005,0,0,2
91,1419903,57,-60,123103,11247,19469,19985,15927,10985,9005,0,0,2
91,1419903,57,39,123103,11247,19469,19985,15927,10985,9005,0,0,2
91,1419903,57,55,123103,11247,19469,19985,15927,10985,9005,0,0,2
91,1419903,57,81,123103,11247,19469,19985,15927,10985,9005,0,0,2
91,1419903,57,-1,123103,11247,19469,19985,15927,10985,9005,0,0,2
91,1419903,57,-34,123103,11247,19469,19985,15927,10985,9005,0,0,2
91,1419903,57,54,123103,11247,19469,19985,15927,10985,9005,0,0,2
91,1419903,57,58,123103,11247,19469,19985,15927,10985,9005,0,0,2
97,264227,51,125,36496,3049,2453,1592,7113,10267,6356,0,0,2
97,264227,51,-1,36496,3049,2453,1592,7113,10267,6356,0,0,2
97,264227,51,50,36496,3049,2453,1592,7113,10267,6356,0,0,2
97,264227,51,40,36496,3049,2453,1592,7113,10267,6356,0,0,2
97,264227,51,-72,36496,3049,2453,1592,7113,10267,6356,0,0,2
97,264227,51,-548,36496,3049,2453,1592,7113,10267,6356,0,0,2
97,264227,51,252,36496,3049,2453,1592,7113,10267,6356,0,0,2
97,264227,51,444,36496,3049,2453,1592,7113,10267,6356,0,0,2
97,264227,51,-75,36496,3049,2453,1592,7113,10267,6356,0,0,2
97,264227,51,-85,36496,3049,2453,1592,7113,10267,6356,0,0,2
64,824130,40,-6,391212,21558,19628,19448,11251,7095,17490,0,0,2
64,824130,40,-301,391212,21558,19628,19448,11251,7095,17490,0,0,2
64,824130,40,-87,391212,21558,19628,19448,11251,7095,17490,0,0,2
64,824130,40,115,391212,21558,19628,19448,11251,7095,17490,0,0,2
64,824130,40,405,391212,21558,19628,19448,11251,7095,17490,0,0,2
64,824130,40,-38,391212,21558,19628,19448,11251,7095,17490,0,0,2
64,824130,40,-538,391212,21558,19628,19448,11251,7095,17490,0,0,2
64,824130,40,76,391212,21558,19628,19448,11251,7095,17490,0,0,2
64,824130,40,304,391212,21558,19628,19448,11251,7095,17490,0,0,2
